destination;shift_indicator;shift;origin;blue_depot_ind_origin;product_type;crossdock;inter_3;transport_direction
NIWG;5;H5;AL;Nee;NIWG shift 5;nvt;;nvt
NIWG;4;H4;AL;Nee;NIWG shift 4;nvt;;nvt
NIWG;3;H3;AL;Nee;NIWG shift 3;nvt;;nvt
NIWG;2;H2;AL;Nee;NIWG shift 2;nvt;;nvt
NIWG;1;H1;AL;Nee;NIWG shift 1;nvt;;nvt
NIWG;N;N;AL;Nee;NIWG shift N;nvt;;nvt
OEV;5;H5;AL;Nee;OEV shift 5;nvt;;nvt
OEV;4;H4;AL;Nee;OEV shift 4;nvt;;nvt
OEV;3;H3;AL;Nee;OEV shift 3;nvt;;nvt
OEV;2;H2;AL;Nee;OEV shift 2;nvt;;nvt
OEV;1;H1;AL;Nee;OEV shift 1;nvt;;nvt
OPM;9;H9;AL;Nee;OPM shift 9;nvt;;nvt
OPM;8;H8;AL;Nee;OPM shift 8;nvt;;nvt
OPM;7;H7;AL;Nee;OPM shift 7;nvt;;nvt
OPM;6;H6;AL;Nee;OPM shift 6;nvt;;nvt
OPM;5;H5;AL;Nee;OPM shift 5;nvt;;nvt
OPM;4;H4;AL;Nee;OPM shift 4;nvt;;nvt
OPM;3;H3;AL;Nee;OPM shift 3;nvt;;nvt
OPM;2;H2;AL;Nee;OPM shift 2;nvt;;nvt
OPM;1;H1;AL;Nee;OPM shift 1;nvt;;nvt
OPM;N;N;AL;Nee;OPM shift N;nvt;;nvt
RD;9;H9;AL;Nee;RD shift 9;nvt;;nvt
RD;8;H8;AL;Nee;RD shift 8;nvt;;nvt
RD;7;H7;AL;Nee;RD shift 7;nvt;;nvt
RD;6;H6;AL;Nee;RD shift 6;nvt;;nvt
RD;5;H5;AL;Nee;RD shift 5;nvt;;nvt
RD;4;H4;AL;Nee;RD shift 4;nvt;;nvt
RD;3;H3;AL;Nee;RD shift 3;nvt;;nvt
RD;2;H2;AL;Nee;RD shift 2;nvt;;nvt
RD;1;H1;AL;Nee;RD shift 1;nvt;;nvt
RD;N;N;AL;Nee;RD shift N;nvt;;nvt
SNI;5;H5;AL;Nee;SNI shift 5;nvt;;nvt
SNI;4;H4;AL;Nee;SNI shift 4;nvt;;nvt
SNI;3;H3;AL;Nee;SNI shift 3;nvt;;nvt
SNI;2;H2;AL;Nee;SNI shift 2;nvt;;nvt
SNI;1;H1;AL;Nee;SNI shift 1;nvt;;nvt
SON;8;H8;AL;Nee;SON shift 8;nvt;;nvt
SON;7;H7;AL;Nee;SON shift 7;nvt;;nvt
SON;6;H6;AL;Nee;SON shift 6;nvt;;nvt
SON;5;H5;AL;Nee;SON shift 5;nvt;;nvt
SON;4;H4;AL;Nee;SON shift 4;nvt;;nvt
SON;3;H3;AL;Nee;SON shift 3;nvt;;nvt
SON;2;H2;AL;Nee;SON shift 2;nvt;;nvt
SON;1;H1;AL;Nee;SON shift 1;nvt;;nvt
SON;N;N;AL;Nee;SON shift N;nvt;;nvt
SSH;10;H10;AL;Nee;SSH shift 10;nvt;;nvt
SSH;9;H9;AL;Nee;SSH shift 9;nvt;;nvt
SSH;8;H8;AL;Nee;SSH shift 8;nvt;;nvt
SSH;7;H7;AL;Nee;SSH shift 7;nvt;;nvt
SSH;6;H6;AL;Nee;SSH shift 6;nvt;;nvt
SSH;5;H5;AL;Nee;SSH shift 5;nvt;;nvt
SSH;4;H4;AL;Nee;SSH shift 4;nvt;;nvt
SSH;3;H3;AL;Nee;SSH shift 3;nvt;;nvt
SSH;2;H2;AL;Nee;SSH shift 2;nvt;;nvt
SSH;1;H1;AL;Nee;SSH shift 1;nvt;;nvt
SSH;N;N;AL;Nee;SSH shift N;nvt;;nvt
STT;6;H6;AL;Nee;STT shift 6;nvt;;nvt
STT;5;H5;AL;Nee;STT shift 5;nvt;;nvt
STT;4;H4;AL;Nee;STT shift 4;nvt;;nvt
STT;3;H3;AL;Nee;STT shift 3;nvt;;nvt
STT;2;H2;AL;Nee;STT shift 2;nvt;;nvt
STT;1;H1;AL;Nee;STT shift 1;nvt;;nvt
TB;8;H8;AL;Nee;TB shift 8;nvt;;nvt
TB;7;H7;AL;Nee;TB shift 7;nvt;;nvt
TB;6;H6;AL;Nee;TB shift 6;nvt;;nvt
TB;5;H5;AL;Nee;TB shift 5;nvt;;nvt
TB;4;H4;AL;Nee;TB shift 4;nvt;;nvt
TB;3;H3;AL;Nee;TB shift 3;nvt;;nvt
TB;2;H2;AL;Nee;TB shift 2;nvt;;nvt
TB;1;H1;AL;Nee;TB shift 1;nvt;;nvt
TB;N;N;AL;Nee;TB shift N;nvt;;nvt
UT;9;H9;AL;Nee;UT shift 9;nvt;;nvt
UT;8;H8;AL;Nee;UT shift 8;nvt;;nvt
UT;7;H7;AL;Nee;UT shift 7;nvt;;nvt
UT;6;H6;AL;Nee;UT shift 6;nvt;;nvt
UT;5;H5;AL;Nee;UT shift 5;nvt;;nvt
UT;4;H4;AL;Nee;UT shift 4;nvt;;nvt
UT;3;H3;AL;Nee;UT shift 3;nvt;;nvt
UT;2;H2;AL;Nee;UT shift 2;nvt;;nvt
UT;1;H1;AL;Nee;UT shift 1;nvt;;nvt
UT;N;N;AL;Nee;UT shift N;nvt;;nvt
VIL;8;H8;AL;Nee;VIL shift 8;nvt;;nvt
VIL;7;H7;AL;Nee;VIL shift 7;nvt;;nvt
VIL;6;H6;AL;Nee;VIL shift 6;nvt;;nvt
VIL;5;H5;AL;Nee;VIL shift 5;nvt;;nvt
VIL;4;H4;AL;Nee;VIL shift 4;nvt;;nvt
VIL;3;H3;AL;Nee;VIL shift 3;nvt;;nvt
VIL;2;H2;AL;Nee;VIL shift 2;nvt;;nvt
VIL;1;H1;AL;Nee;VIL shift 1;nvt;;nvt
VL;9;H9;AL;Nee;VL shift 9;nvt;;nvt
VL;8;H8;AL;Nee;VL shift 8;nvt;;nvt
